OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
59,CT3600-00-1-L1_01,407.6,01100001,2012,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17755106.5457764,36181.8914184591
60,CT3002-06-1-L1_01,91.25,01100003,2012,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3974740.96600342,18330.7087110073
61,CT6000-00-5+L2_02,339.25,01100005,2012,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,14777856.5875244,60747.8782723668
62,CT2104-00-1-L1_01,20.06,01100003,2012,Lantern Hill Pond  (Ledyard/North Stonington),Border of Ledyard and North Stonington; now part of Mashentucket Reservation.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,873636.091186523,4067.42272383739
63,CT2205-00-1-L1_01,146.5,01100003,2012,Powers Lake (East Lyme),"East Lyme, Headwaters of Pataganset River.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6381745.54193115,17778.8646610088
64,CT2205-00-1-L2_01,125.7,01100003,2012,Pataganset Lake (East Lyme),"East Lyme,  Pataganset River system.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5475656.07189941,19706.4978268634
65,CT2205-00-1-L3_01,52.41,01100003,2012,Gorton Pond (East Lyme),East Lyme. Impoundment of Pataganset River.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2282996.33807373,14586.1936899977
66,CT2205-02-1-L1_01,29.59,01100003,2012,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,1288826.92077637,5134.89383571494
67,CT6002-00-1-L1_01,565.31,01100005,2012,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24624742.1429443,27835.1513328321
68,CT6100-04-1-L1_01,147.62,01100005,2012,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6430413.23406982,17293.9645244064
