OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
36,655,CT3101-03-1-L1_01,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.",187.38,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,8162256.0291748,15824.3590375914
37,21,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,189.55,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,8256791.3145752,20428.8057020475
38,1132,CT3200-01-1-L1_01,Halls Pond (Eastford/Ashford),SW corner of Eastford.,83.16,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,3622318.79071045,15866.0502597677
39,266,CT3108-02-1-L2_01,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,117.2,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,5105216.24316406,14402.4229974134
40,265,CT3108-02-1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.",176.46,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,7686552.24029541,14187.9488939389
41,792,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.",79.49,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3462758.93359375,17987.3557210572
42,3387,CT3105-00-1-L1_01,Waumgumbaug Lake (Coventry),East - Central Coventry,374.45,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,16310867.0695801,28780.1787798752
43,1906,CT3502-07-1-L1_01,Moosup Pond (Plainfield),Northeast section of Plainfield.,89.27,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3888756.77697754,8348.25882525053
44,575,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,277.28,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,12078477.2076416,21109.9909444743
45,1899,CT3109-01-1-L1_01,Mono Pond (Columbia),"Southern Columbia, south of Rte 66.",101.98,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4442184.34753418,19222.1809439634
46,69,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",308.86,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,13453811.4517212,64711.8052680731
47,2293,CT1100-00-1-L1_01,Porter Pond (Sterling),"Headwaters of Wood River near Rhode Island border, Sterling.",10.4,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,453211.991943359,4361.3932100478
48,3352,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",57.2,Not Supporting,Not Assessed,Not Supporting,2006,Water Not Classified For Drinking Supply,2491842.3359375,14936.2188973371
49,1284,CT3600-00-3-L8_01,Hopeville Pond (Griswold),"Impoundment of Pachaug River, Griswold; ds of Pachaug Pond.",106.6,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4643675.68249512,29443.6156444444
50,143,CT3600-00-3-L3_01,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.",37.32,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1625644.81384277,12065.4860605358
51,915,CT3900-00-4-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.",58.54,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2549955.13342285,13949.1941406868
52,2368,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,132.92,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,5789918.09484863,19134.2440529324
